"asset_id","llc_name","portfolio","address","year_built","units_count","unit_number","bedroom_count"
"S0025","SREP PARK 6 LLC","Park Portfolio","179 Affleck St",,"8","1S","2"
"S0025","SREP PARK 6 LLC","Park Portfolio","179 Affleck St",,"8","2N","2"
"S0025","SREP PARK 6 LLC","Park Portfolio","179 Affleck St",,"8","2S","2"
"S0025","SREP PARK 6 LLC","Park Portfolio","179 Affleck St",,"8","3N","2"
"S0025","SREP PARK 6 LLC","Park Portfolio","179 Affleck St",,"8","3S","2"
"S0025","SREP PARK 6 LLC","Park Portfolio","179 Affleck St",,"8","4N","2"
"S0025","SREP PARK 6 LLC","Park Portfolio","179 Affleck St",,"8","4S","2"
"S0039","SREP PARK 10 LLC","Park Portfolio","180 Seymour St",,"3","1","2"
"S0039","SREP PARK 10 LLC","Park Portfolio","180 Seymour St",,"3","2","2"
,,,"182-184 Affleck St",,,"1","2"
,,,"182-184 Affleck St",,,"2","2"
"S0028","SREP PARK 7 LLC","Park Portfolio","182 Affleck St",,"2",,
,,,"190-192 Affleck St",,,"1N","2"
,,,"190-192 Affleck St",,,"1S","2"
,,,"190-192 Affleck St",,,"2N","2"
,,,"190-192 Affleck St",,,"2S","2"
,,,"190-192 Affleck St",,,"3N","2"
,,,"190-192 Affleck St",,,"3S","2"
"S0029","SREP PARK 7 LLC","Park Portfolio","190 Affleck St",,"6",,
"S0030","SREP PARK 8 LLC","Park Portfolio","195 Affleck St",,"8","1B","2"
"S0030","SREP PARK 8 LLC","Park Portfolio","195 Affleck St",,"8","2A","2"
"S0030","SREP PARK 8 LLC","Park Portfolio","195 Affleck St",,"8","2B","2"
"S0030","SREP PARK 8 LLC","Park Portfolio","195 Affleck St",,"8","3A","2"
"S0030","SREP PARK 8 LLC","Park Portfolio","195 Affleck St",,"8","3B","2"
"S0030","SREP PARK 8 LLC","Park Portfolio","195 Affleck St",,"8","4A","2"
"S0030","SREP PARK 8 LLC","Park Portfolio","195 Affleck St",,"8","4B","2"
"S0040","SREP PARK 11 LLC","Park Portfolio","213-217 Buckingham St",,"24","202","2"
"S0040","SREP PARK 11 LLC","Park Portfolio","213-217 Buckingham St",,"24","203","2"
